region,date,total_claims,avg_processing_time,total_claim_amount,avg_claim_amount,high_priority_claims,approved_claims,rejected_claims,policy_change_flag,weather_disruption_flag,weekday,month,is_holiday,day_of_week,is_weekend,lag_1,lag_7,rolling_avg_7,rolling_std_7
East,2023-01-08,1.0,299.0,5721.27,5721.27,0.0,0.0,0.0,False,False,6.0,1.0,1,6,1,0.0,29.0,2.571428571428572,1.718249385968443
East,2023-01-09,4.0,209.0,21309.98,5327.495,0.0,0.0,0.0,False,False,0.0,1.0,0,0,0,1.0,2.0,2.857142857142857,1.772810520855831
East,2023-01-10,2.0,93.0,9056.65,4528.325,0.0,0.0,0.0,False,False,1.0,1.0,0,1,0,4.0,3.0,2.7142857142857144,1.7994708216848687
East,2023-01-11,6.0,160.16666666666666,46237.41,7706.235000000001,0.0,0.0,0.0,False,False,2.0,1.0,0,2,0,2.0,4.0,3.0,2.160246899469282
East,2023-01-12,3.0,83.66666666666667,13843.76,4614.586666666667,0.0,0.0,0.0,False,False,3.0,1.0,0,3,0,6.0,5.0,2.7142857142857144,1.976047040118702
East,2023-02-01,1.0,290.0,4226.19,4226.19,0.0,0.0,0.0,False,False,2.0,2.0,0,2,0,0.0,0.0,0.1428571428571428,0.3779644730091889
East,2023-02-02,2.0,226.5,9291.32,4645.66,0.0,0.0,0.0,False,False,3.0,2.0,0,3,0,1.0,0.0,0.4285714285714285,0.7867957924694253
East,2023-02-03,5.0,169.6,30536.78,6107.356,1.0,0.0,0.0,False,False,4.0,2.0,0,4,0,2.0,0.0,1.1428571428571428,1.8644544714716016
East,2023-02-04,3.0,196.0,8698.93,2899.643333333333,0.0,0.0,0.0,False,False,5.0,2.0,1,5,1,5.0,0.0,1.5714285714285714,1.902379462422677
East,2023-02-05,3.0,153.33333333333334,20882.41,6960.803333333333,0.0,0.0,0.0,False,False,6.0,2.0,1,6,1,3.0,0.0,2.0,1.8257418583505471
East,2023-02-06,6.0,150.5,20165.26,3360.876666666667,2.0,0.0,0.0,False,False,0.0,2.0,0,0,0,3.0,0.0,2.857142857142857,2.11570094204981
East,2023-02-07,5.0,207.6,33159.189999999995,6631.837999999999,1.0,0.0,0.0,False,False,1.0,2.0,0,1,0,6.0,0.0,3.571428571428572,1.812653934349926
East,2023-02-08,2.0,205.5,7924.69,3962.345,0.0,0.0,0.0,False,False,2.0,2.0,0,2,0,5.0,1.0,3.7142857142857135,1.6035674514745404
East,2023-02-09,3.0,128.33333333333334,16158.06,5386.02,0.0,0.0,0.0,False,False,3.0,2.0,0,3,0,2.0,2.0,3.857142857142857,1.4638501094227934
East,2023-02-10,5.0,218.0,17091.39,3418.278,1.0,0.0,0.0,False,False,4.0,2.0,0,4,0,3.0,5.0,3.857142857142857,1.4638501094227934
East,2023-02-11,1.0,195.0,1429.6,1429.6,0.0,0.0,0.0,False,False,5.0,2.0,1,5,1,5.0,3.0,3.571428571428572,1.812653934349926
East,2023-02-12,1.0,41.0,1895.25,1895.25,0.0,0.0,0.0,False,False,6.0,2.0,1,6,1,1.0,3.0,3.2857142857142856,2.058663459163546
East,2023-03-01,3.0,187.66666666666663,20869.73,6956.576666666667,1.0,0.0,0.0,True,False,2.0,3.0,0,2,0,0.0,0.0,0.4285714285714285,1.1338934190276675
East,2023-03-02,2.0,168.5,11395.57,5697.785,0.0,0.0,0.0,True,False,3.0,3.0,0,3,0,3.0,0.0,0.7142857142857143,1.2535663410560054
East,2023-03-03,1.0,166.0,5980.34,5980.34,0.0,0.0,0.0,True,False,4.0,3.0,0,4,0,2.0,0.0,0.8571428571428571,1.2149857925878993
East,2023-03-04,4.0,128.0,18720.78,4680.195000000001,3.0,0.0,0.0,True,False,5.0,3.0,1,5,1,1.0,0.0,1.4285714285714286,1.6183471874253657
East,2023-03-05,4.0,242.75,25621.53,6405.3825,1.0,0.0,0.0,True,False,6.0,3.0,1,6,1,4.0,0.0,2.0,1.73205080756887
East,2023-03-06,3.0,213.0,9109.32,3036.44,0.0,0.0,0.0,True,False,0.0,3.0,0,0,0,4.0,0.0,2.4285714285714284,1.511857892036901
East,2023-03-07,1.0,116.0,2820.49,2820.49,0.0,0.0,0.0,True,False,1.0,3.0,0,1,0,3.0,0.0,2.571428571428572,1.2724180205606943
East,2023-03-08,1.0,179.0,3648.9,3648.9,0.0,0.0,0.0,True,False,2.0,3.0,0,2,0,1.0,3.0,2.2857142857142856,1.3801311186846996
East,2023-03-10,4.0,103.5,23263.29,5815.8225,0.0,0.0,0.0,True,False,4.0,3.0,0,4,0,0.0,1.0,2.4285714285714284,1.718249385968442
East,2023-03-11,2.0,127.0,6762.13,3381.065,1.0,0.0,0.0,False,True,5.0,3.0,1,5,1,4.0,4.0,2.142857142857143,1.5735915849388784
East,2023-03-12,2.0,112.5,18120.58,9060.29,0.0,0.0,0.0,False,False,6.0,3.0,1,6,1,2.0,4.0,1.8571428571428568,1.345185418269089
East,2023-04-02,1.0,219.0,1909.41,1909.41,1.0,0.0,0.0,False,False,6.0,4.0,1,6,1,0.0,0.0,0.1428571428571428,0.3779644730091854
East,2023-04-03,1.0,274.0,4034.86,4034.86,0.0,0.0,0.0,False,False,0.0,4.0,0,0,0,1.0,0.0,0.2857142857142857,0.4879500364742347
East,2023-04-04,3.0,117.0,15977.89,5325.963333333333,1.0,0.0,0.0,False,False,1.0,4.0,0,1,0,1.0,0.0,0.7142857142857143,1.1126972805283604
East,2023-04-05,3.0,175.0,13664.58,4554.86,2.0,0.0,0.0,False,False,2.0,4.0,0,2,0,3.0,0.0,1.1428571428571428,1.345185418269088
East,2023-04-06,2.0,133.5,6510.27,3255.135,0.0,0.0,0.0,False,False,3.0,4.0,0,3,0,3.0,0.0,1.4285714285714286,1.2724180205606928
East,2023-04-07,3.0,101.0,25677.79,8559.263333333334,0.0,0.0,0.0,False,False,4.0,4.0,0,4,0,2.0,0.0,1.8571428571428568,1.2149857925879008
East,2023-04-08,2.0,166.0,14032.09,7016.045,0.0,0.0,0.0,False,False,5.0,4.0,1,5,1,3.0,0.0,2.142857142857143,0.8997354108424233
East,2023-04-10,1.0,96.0,6088.63,6088.63,0.0,0.0,0.0,False,False,0.0,4.0,0,0,0,0.0,1.0,2.0,1.1547005383792404
East,2023-04-11,2.0,182.5,17697.63,8848.815,0.0,0.0,0.0,False,False,5.0,11.0,0,1,0,1.0,3.0,1.8571428571428568,1.0690449676496854
East,2023-04-12,3.0,206.0,14905.62,4968.54,0.0,0.0,0.0,False,False,0.0,12.0,0,2,0,2.0,3.0,1.8571428571428568,1.0690449676496854
East,2023-05-01,1.0,267.0,9757.09,9757.09,0.0,0.0,0.0,False,True,3.0,1.0,0,0,0,0.0,0.0,0.1428571428571428,0.377964473009185
East,2023-05-02,4.0,217.75,12346.19,3086.5475,3.0,0.0,0.0,False,False,6.0,2.0,0,1,0,1.0,0.0,0.7142857142857143,1.4960264830861814
East,2023-05-03,1.0,168.0,4687.65,4687.65,0.0,0.0,0.0,False,False,6.0,3.0,0,2,0,4.0,0.0,0.8571428571428571,1.4638501094227898
East,2023-05-04,4.0,155.75,22051.29,5512.8225,2.0,0.0,0.0,False,False,2.0,4.0,1,3,0,1.0,0.0,1.4285714285714286,1.812653934349924
East,2023-05-05,4.0,219.75,15240.9,3810.225,2.0,0.0,0.0,False,False,4.0,5.0,0,4,0,4.0,0.0,2.0,1.914854215512669
East,2023-05-06,3.0,146.33333333333334,16451.89,5483.963333333333,1.0,0.0,0.0,False,True,0.0,6.0,0,5,1,4.0,0.0,2.4285714285714284,1.718249385968442
East,2023-05-07,3.0,179.0,7368.950000000001,2456.316666666667,1.0,0.0,0.0,False,False,2.0,7.0,0,6,1,3.0,0.0,2.857142857142857,1.34518541826909
East,2023-05-08,2.0,241.0,10246.63,5123.3150000000005,1.0,0.0,0.0,False,False,5.0,8.0,0,0,0,3.0,1.0,3.0,1.154700538379242
East,2023-05-09,2.0,202.0,10563.29,5281.645,0.0,0.0,0.0,False,False,1.0,9.0,0,1,0,2.0,4.0,2.7142857142857144,1.112697280528363
East,2023-05-10,2.0,65.0,14678.67,7339.335,0.0,0.0,0.0,False,True,3.0,10.0,0,2,0,2.0,1.0,2.857142857142857,0.8997354108424246
East,2023-05-11,4.0,123.75,24906.72,6226.68,1.0,0.0,0.0,False,False,6.0,11.0,0,3,0,2.0,4.0,2.857142857142857,0.8997354108424246
East,2023-05-12,3.0,175.66666666666666,16945.43,5648.4766666666665,1.0,0.0,0.0,False,False,1.0,12.0,0,4,0,4.0,4.0,2.7142857142857144,0.7559289460184391
East,2023-06-01,3.0,120.33333333333331,16058.42,5352.806666666666,0.0,0.0,0.0,False,False,4.0,1.0,0,3,0,0.0,0.0,0.4285714285714285,1.1338934190276684
East,2023-06-02,3.0,148.0,16763.36,5587.786666666667,0.0,0.0,0.0,False,True,0.0,2.0,0,4,0,3.0,0.0,0.8571428571428571,1.4638501094227898
East,2023-06-03,2.0,102.5,11772.75,5886.375,0.0,0.0,0.0,False,False,0.0,3.0,0,5,1,3.0,0.0,1.1428571428571428,1.4638501094227905
East,2023-06-04,4.0,105.0,25695.35,6423.8375,0.0,0.0,0.0,False,False,3.0,4.0,0,6,1,2.0,0.0,1.7142857142857142,1.7043362064926857
East,2023-06-05,1.0,85.0,5477.76,5477.76,0.0,0.0,0.0,False,False,5.0,5.0,0,0,0,4.0,0.0,1.8571428571428568,1.573591584938878
East,2023-06-06,7.0,147.71428571428572,41314.75,5902.107142857143,2.0,0.0,0.0,False,False,1.0,6.0,0,1,0,1.0,0.0,2.857142857142857,2.267786838055358
East,2023-06-07,3.0,166.0,15235.65,5078.55,0.0,0.0,0.0,False,False,3.0,7.0,0,2,0,7.0,0.0,3.2857142857142856,1.8898223650461297
East,2023-06-08,1.0,34.0,8721.62,8721.62,0.0,0.0,0.0,False,False,6.0,8.0,0,3,0,3.0,3.0,3.0,2.081665999466127
East,2023-06-09,3.0,190.66666666666663,15075.41,5025.136666666666,0.0,0.0,0.0,False,False,2.0,9.0,0,4,0,1.0,3.0,3.0,2.081665999466127
East,2023-06-10,1.0,153.0,3903.65,3903.65,0.0,0.0,0.0,False,True,4.0,10.0,0,5,1,3.0,2.0,2.857142857142857,2.1930626551751287
East,2023-06-11,2.0,274.5,10478.14,5239.07,0.0,0.0,0.0,False,False,0.0,11.0,0,6,1,1.0,4.0,2.571428571428572,2.1491969707422336
East,2023-06-12,6.0,210.33333333333331,30435.01,5072.501666666666,1.0,0.0,0.0,False,False,2.0,12.0,0,0,0,2.0,1.0,3.2857142857142856,2.3603873774083244
East,2023-07-02,2.0,76.0,16304.41,8152.205,0.0,0.0,0.0,False,False,1.0,2.0,0,6,1,0.0,0.0,0.2857142857142857,0.7559289460184364
East,2023-07-04,2.0,196.5,9215.37,4607.685,0.0,0.0,0.0,False,False,4.0,4.0,0,1,0,0.0,0.0,0.5714285714285714,0.9759000729485192
East,2023-07-05,1.0,167.0,8227.33,8227.33,0.0,0.0,0.0,False,False,6.0,5.0,0,2,0,2.0,0.0,0.7142857142857143,0.9511897312113278
East,2023-07-06,4.0,66.75,26953.54,6738.385,2.0,0.0,0.0,False,True,2.0,6.0,0,3,0,1.0,0.0,1.2857142857142858,1.4960264830861825
East,2023-07-07,5.0,99.8,26379.660000000003,5275.932000000001,0.0,0.0,0.0,False,False,4.0,7.0,0,4,0,4.0,0.0,2.0,1.914854215512669
East,2023-07-08,5.0,165.0,41728.59,8345.717999999999,0.0,0.0,0.0,False,False,0.0,8.0,0,5,1,5.0,0.0,2.7142857142857144,1.976047040118701
East,2023-07-09,3.0,177.0,21972.84,7324.28,0.0,0.0,0.0,False,True,3.0,9.0,0,6,1,5.0,2.0,2.857142857142857,1.95180014589706
East,2023-07-10,1.0,113.0,5194.03,5194.03,0.0,0.0,0.0,False,False,5.0,10.0,0,0,0,3.0,0.0,3.0,1.73205080756887
East,2023-07-11,1.0,143.0,1836.2,1836.2,0.0,0.0,0.0,False,False,1.0,11.0,0,1,0,1.0,2.0,2.857142857142857,1.864454471471602
East,2023-07-12,2.0,130.5,15538.62,7769.309999999999,0.0,0.0,0.0,False,True,3.0,12.0,1,2,0,1.0,1.0,3.0,1.73205080756887
East,2023-08-01,2.0,132.5,16564.35,8282.175,0.0,0.0,0.0,False,False,6.0,1.0,0,1,0,0.0,0.0,0.2857142857142857,0.7559289460184362
